iter	Passed	Remaining
0	68	1375858
1	135	1352125
2	198	1322710
3	262	1311736
4	326	1305530
5	388	1294401
6	451	1290290
7	517	1293225
8	581	1292695
9	651	1302875
10	719	1306861
11	784	1307142
12	851	1309261
13	918	1310825
14	982	1308597
15	1046	1307208
16	1114	1310221
17	1180	1309981
18	1247	1311439
19	1310	1309467
20	1382	1314913
21	1450	1317116
22	1520	1320647
23	1584	1319050
24	1648	1317352
25	1716	1318588
26	1803	1334468
27	1873	1336570
28	1936	1333280
29	2000	1331659
30	2068	1332125
31	2134	1331820
32	2200	1331650
33	2264	1329637
34	2332	1330618
35	2397	1329685
36	2477	1336882
37	2544	1336514
38	2611	1336780
39	2674	1334727
40	2739	1333831
41	2801	1331347
42	2869	1331836
43	2941	1334119
44	3005	1332736
45	3073	1333356
46	3138	1332256
47	3217	1337610
48	3285	1337660
49	3352	1337839
50	3417	1336835
51	3484	1336798
52	3550	1336381
53	3612	1334466
54	3673	1332234
55	3735	1330543
56	3804	1331030
57	3867	1329647
58	3932	1328951
59	4000	1329488
60	4068	1329794
61	4134	1329688
62	4203	1330169
63	4269	1329802
64	4335	1329692
65	4406	1331011
66	4474	1331190
67	4543	1331860
68	4608	1331215
69	4678	1332175
70	4747	1332526
71	4810	1331394
72	4875	1330772
73	4937	1329516
74	5000	1328435
75	5061	1326925
76	5131	1327725
77	5196	1327170
78	5262	1327063
79	5327	1326555
80	5391	1325810
81	5456	1325478
82	5475	1313893
83	5486	1300835
84	5552	1300936
85	5620	1301409
86	5640	1291133
87	5706	1291125
88	5769	1290682
89	5840	1292121
90	5907	1292389
91	5970	1291947
92	6035	1292008
93	6101	1292165
94	6165	1291909
95	6231	1292027
96	6296	1291910
97	6365	1292732
98	6438	1294213
99	6508	1295270
100	6574	1295398
101	6645	1296407
102	6710	1296291
103	6776	1296409
104	6855	1298863
105	6950	1304385
106	7054	1311476
107	7154	1317711
108	7222	1318011
109	7284	1317242
110	7354	1317707
111	7424	1318347
112	7500	1320032
113	7521	1312018
114	7583	1311294
115	7649	1311176
116	7716	1311329
117	7785	1311729
118	7861	1313334
119	7954	1317796
120	8031	1319536
121	8068	1314669
122	8143	1315975
123	8230	1319310
124	8242	1310596
125	8315	1311556
126	8392	1313311
127	8461	1313718
128	8525	1313264
129	8593	1313539
130	8663	1314048
131	8731	1314158
132	8768	1309872
133	8834	1309769
134	8899	1309616
135	8967	1309721
136	9031	1309459
137	9104	1310351
138	9173	1310812
139	9203	1305616
140	9265	1304947
141	9328	1304601
142	9397	1304909
143	9426	1299878
144	9495	1300173
145	9555	1299450
146	9597	1296198
147	9661	1295932
148	9680	1289743
